turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2026-01-31 19:00:00+00:00,-1.1,58,953.6,0.89,1.61,1.68,254,256,256,1.2,2026-02-01 00:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,0.1666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-31 20:00:00+00:00,-2.1,59,953.7,0.79,1.43,1.5,252,288,288,1.4,2026-02-01 01:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-31 21:00:00+00:00,-1.6,56,953.7,0.25,0.33,0.34,191,153,153,1.1,2026-02-01 02:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-31 22:00:00+00:00,-0.9,54,953.7,0.1,0.58,0.61,180,90,90,0.4,2026-02-01 03:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-01-31 23:00:00+00:00,-1.1,55,953.8,0.07,0.83,0.87,315,28,28,0.4,2026-02-01 04:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 00:00:00+00:00,-1.6,57,953.6,0.55,1.67,1.75,95,82,82,0.7,2026-02-01 05:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 01:00:00+00:00,-2.0,55,953.3,1.32,3.16,3.31,81,56,56,1.8,2026-02-01 06:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 02:00:00+00:00,-2.5,52,953.9,1.3,3.97,4.15,74,53,53,1.8,2026-02-01 07:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 03:00:00+00:00,-0.9,44,954.4,1.66,4.15,4.34,83,70,70,2.9,2026-02-01 08:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 04:00:00+00:00,0.8,42,954.9,2.42,4.76,4.98,60,61,61,4.7,2026-02-01 09:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 05:00:00+00:00,2.2,42,955.5,2.33,3.47,3.64,43,56,56,5.1,2026-02-01 10:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 06:00:00+00:00,3.6,39,955.7,2.2,2.77,2.9,41,51,51,5.5,2026-02-01 11:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 07:00:00+00:00,4.9,39,955.1,2.48,3.04,3.19,48,55,55,5.8,2026-02-01 12:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 08:00:00+00:00,5.8,43,954.6,2.84,3.51,3.68,51,56,56,6.3,2026-02-01 13:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 09:00:00+00:00,6.2,43,954.6,2.87,3.5,3.67,49,55,55,6.4,2026-02-01 14:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 10:00:00+00:00,5.4,47,954.8,3.11,4.05,4.24,44,50,50,6.1,2026-02-01 15:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 11:00:00+00:00,3.4,57,954.7,2.32,4.6,4.82,53,66,66,5.8,2026-02-01 16:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,16.166666666666668,23.0,17,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2026-02-01 12:00:00+00:00,0.2,70,954.0,2.14,4.99,5.23,79,71,71,3.9,2026-02-01 17:00:00+05:00,2026-01-31,2026-01-31T23:50:00+05:00,2026-01-31T18:50:00+00:00,2026-01-31T12:00:00+00:00,2026-01-31T18:10:00+00:00,17.166666666666668,24.0,18,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
