turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-05-22 19:00:00+00:00,21.1,43,946.6,3.42,4.49,4.7,162,159,159,5.8,2025-05-23 00:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-22 20:00:00+00:00,20.9,45,946.9,3.66,5.44,5.7,170,200,200,6.3,2025-05-23 01:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-22 21:00:00+00:00,21.9,37,947.5,1.83,5.22,5.47,235,261,261,6.1,2025-05-23 02:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-22 22:00:00+00:00,21.0,35,948.1,1.45,2.98,3.12,243,275,275,2.8,2025-05-23 03:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-22 23:00:00+00:00,20.7,37,948.4,1.21,1.55,1.62,204,208,208,2.1,2025-05-23 04:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 00:00:00+00:00,21.7,35,949.0,1.89,3.89,4.08,217,214,214,2.5,2025-05-23 05:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 01:00:00+00:00,23.1,39,949.3,0.36,1.9,1.99,254,228,228,2.5,2025-05-23 06:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 02:00:00+00:00,22.3,38,949.5,1.3,2.9,3.04,92,107,107,1.7,2025-05-23 07:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 03:00:00+00:00,25.6,29,949.8,2.77,4.31,4.51,84,96,96,5.0,2025-05-23 08:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 04:00:00+00:00,28.0,23,949.6,5.1,6.5,6.8,91,94,94,9.4,2025-05-23 09:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 05:00:00+00:00,30.1,21,948.8,4.37,5.36,5.61,85,89,89,10.4,2025-05-23 10:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 06:00:00+00:00,30.8,20,948.0,4.55,5.37,5.62,51,56,56,9.3,2025-05-23 11:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-05-23 07:00:00+00:00,31.4,19,946.6,6.08,7.39,7.74,45,49,49,12.2,2025-05-23 12:00:00+05:00,2025-05-22,2025-05-22T23:50:00+05:00,2025-05-22T18:50:00+00:00,2025-05-22T12:00:00+00:00,2025-05-22T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
