turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-07-13 19:00:00+00:00,23.6,29,941.0,1.27,1.63,1.7,154,189,189,4.4,2025-07-14 00:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-13 20:00:00+00:00,23.3,29,940.8,0.93,1.59,1.67,144,50,50,2.8,2025-07-14 01:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-13 21:00:00+00:00,23.7,28,941.1,2.16,5.21,5.45,85,64,64,3.2,2025-07-14 02:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-13 22:00:00+00:00,23.0,30,941.2,2.2,5.32,5.57,91,74,74,3.7,2025-07-14 03:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-13 23:00:00+00:00,21.4,33,941.2,2.04,5.03,5.26,101,70,70,3.6,2025-07-14 04:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 00:00:00+00:00,21.1,34,941.2,2.12,4.83,5.06,109,75,75,3.5,2025-07-14 05:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 01:00:00+00:00,23.4,31,942.0,2.22,3.91,4.09,104,80,80,3.9,2025-07-14 06:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 02:00:00+00:00,26.4,30,942.9,2.63,3.71,3.88,57,65,65,5.4,2025-07-14 07:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 03:00:00+00:00,28.1,34,943.0,3.42,4.26,4.46,52,57,57,7.3,2025-07-14 08:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 04:00:00+00:00,30.0,30,942.8,4.01,4.94,5.17,50,53,53,8.6,2025-07-14 09:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 05:00:00+00:00,31.9,23,942.6,3.82,4.61,4.82,48,51,51,8.7,2025-07-14 10:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 06:00:00+00:00,33.9,18,942.6,2.75,3.19,3.34,37,39,39,8.5,2025-07-14 11:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 07:00:00+00:00,35.2,15,942.2,1.78,1.93,2.02,11,10,10,7.1,2025-07-14 12:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 08:00:00+00:00,36.3,13,941.8,1.78,2.05,2.14,328,322,322,5.9,2025-07-14 13:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 09:00:00+00:00,35.4,16,941.7,4.19,5.27,5.52,262,261,261,7.8,2025-07-14 14:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 10:00:00+00:00,35.5,17,941.6,4.8,6.09,6.38,262,263,263,9.4,2025-07-14 15:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 11:00:00+00:00,34.2,18,941.6,5.47,7.19,7.53,284,284,284,10.0,2025-07-14 16:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,16.166666666666668,23.0,17,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 12:00:00+00:00,33.3,21,941.9,5.22,6.91,7.23,275,276,276,10.5,2025-07-14 17:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,17.166666666666668,24.0,18,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 13:00:00+00:00,32.4,21,942.2,3.23,5.07,5.3,278,281,281,9.4,2025-07-14 18:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,18.166666666666668,25.0,19,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 14:00:00+00:00,31.4,23,942.6,2.84,4.99,5.23,244,251,251,5.9,2025-07-14 19:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,19.166666666666668,26.0,20,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 15:00:00+00:00,30.5,24,942.8,4.51,7.73,8.09,195,203,203,7.0,2025-07-14 20:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,20.166666666666668,27.0,21,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 16:00:00+00:00,30.2,25,942.7,5.25,8.73,9.14,172,177,177,8.6,2025-07-14 21:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,21.166666666666668,28.0,22,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 17:00:00+00:00,29.2,30,942.1,5.4,9.14,9.57,164,170,170,9.0,2025-07-14 22:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,22.166666666666668,29.0,23,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 18:00:00+00:00,27.8,34,941.5,4.9,8.62,9.02,154,158,158,8.8,2025-07-14 23:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,23.166666666666668,30.0,24,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 19:00:00+00:00,26.4,41,941.0,4.35,7.75,8.11,165,164,164,8.3,2025-07-15 00:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,24.166666666666668,31.0,25,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 20:00:00+00:00,25.0,49,940.7,3.7,6.54,6.85,167,172,172,7.2,2025-07-15 01:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,25.166666666666668,32.0,26,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 21:00:00+00:00,23.8,54,940.7,3.08,4.75,4.98,163,186,186,6.0,2025-07-15 02:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,26.166666666666668,33.0,27,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 22:00:00+00:00,23.5,55,940.8,2.73,3.36,3.52,154,189,189,5.1,2025-07-15 03:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,27.166666666666668,34.0,28,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-07-14 23:00:00+00:00,23.2,55,940.9,2.28,2.4,2.51,157,175,175,4.5,2025-07-15 04:00:00+05:00,2025-07-13,2025-07-13T23:50:00+05:00,2025-07-13T18:50:00+00:00,2025-07-13T12:00:00+00:00,2025-07-13T18:10:00+00:00,28.166666666666668,35.0,29,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
