turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-04-20 19:00:00+00:00,7.2,55,956.3,3.11,6.5,6.8,94,86,86,5.1,2025-04-21 00:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-20 20:00:00+00:00,6.6,57,956.1,3.5,7.21,7.55,88,77,77,5.7,2025-04-21 01:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-20 21:00:00+00:00,6.2,59,955.9,4.0,7.74,8.1,87,73,73,6.4,2025-04-21 02:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-20 22:00:00+00:00,6.0,60,955.7,4.06,7.86,8.23,86,73,73,6.7,2025-04-21 03:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-20 23:00:00+00:00,5.5,64,955.6,3.57,7.24,7.59,84,70,70,6.6,2025-04-21 04:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 00:00:00+00:00,4.7,69,955.6,3.2,6.65,6.96,87,70,70,5.8,2025-04-21 05:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 01:00:00+00:00,5.8,66,956.1,3.63,6.6,6.91,82,67,67,5.7,2025-04-21 06:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 02:00:00+00:00,9.4,55,956.7,3.8,6.52,6.83,62,66,66,6.6,2025-04-21 07:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 03:00:00+00:00,12.2,42,956.8,5.14,6.71,7.02,49,52,52,9.7,2025-04-21 08:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 04:00:00+00:00,14.4,31,956.7,6.44,8.34,8.74,47,50,50,12.3,2025-04-21 09:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 05:00:00+00:00,16.4,25,956.8,6.16,7.76,8.12,47,51,51,12.4,2025-04-21 10:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-04-21 06:00:00+00:00,18.1,22,956.6,5.65,7.01,7.34,50,54,54,12.0,2025-04-21 11:00:00+05:00,2025-04-20,2025-04-20T23:50:00+05:00,2025-04-20T18:50:00+00:00,2025-04-20T12:00:00+00:00,2025-04-20T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
