turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-10-08 19:00:00+00:00,8.9,45,955.2,2.45,5.97,6.26,213,236,236,6.0,2025-10-09 00:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-08 20:00:00+00:00,7.4,51,955.0,1.72,4.64,4.86,210,245,245,4.0,2025-10-09 01:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-08 21:00:00+00:00,6.6,54,955.1,0.96,3.86,4.04,261,266,266,2.4,2025-10-09 02:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-08 22:00:00+00:00,5.7,59,955.0,0.7,3.57,3.73,274,274,274,1.4,2025-10-09 03:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-08 23:00:00+00:00,4.9,62,955.1,0.76,3.42,3.58,262,267,267,1.2,2025-10-09 04:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 00:00:00+00:00,4.4,63,955.2,0.62,3.18,3.33,256,266,266,1.2,2025-10-09 05:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 01:00:00+00:00,4.0,65,955.5,0.43,2.58,2.71,234,269,269,1.0,2025-10-09 06:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 02:00:00+00:00,5.5,65,956.5,0.16,1.59,1.66,342,288,288,0.7,2025-10-09 07:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 03:00:00+00:00,7.6,50,957.4,0.75,1.35,1.42,356,308,308,2.8,2025-10-09 08:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 04:00:00+00:00,9.6,42,957.6,1.17,1.37,1.43,317,305,305,4.2,2025-10-09 09:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 05:00:00+00:00,11.3,37,957.3,1.54,1.76,1.84,324,316,316,5.1,2025-10-09 10:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 06:00:00+00:00,12.8,32,956.9,1.69,1.9,1.99,326,320,320,5.5,2025-10-09 11:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 07:00:00+00:00,14.4,27,956.4,1.81,2.07,2.17,321,317,317,5.7,2025-10-09 12:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 08:00:00+00:00,15.4,24,956.0,2.25,2.68,2.81,302,299,299,6.1,2025-10-09 13:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 09:00:00+00:00,16.0,25,955.8,2.71,3.23,3.38,286,285,285,6.5,2025-10-09 14:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 10:00:00+00:00,15.8,26,955.7,3.36,4.11,4.31,267,265,265,7.0,2025-10-09 15:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 11:00:00+00:00,15.1,28,955.5,3.28,4.24,4.44,254,251,251,7.0,2025-10-09 16:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,16.166666666666668,23.0,17,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 12:00:00+00:00,13.0,34,955.4,1.98,4.32,4.52,249,246,246,6.0,2025-10-09 17:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,17.166666666666668,24.0,18,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 13:00:00+00:00,10.7,42,955.3,1.62,3.78,3.95,236,250,250,3.4,2025-10-09 18:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,18.166666666666668,25.0,19,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 14:00:00+00:00,9.6,46,955.7,1.56,3.81,3.99,230,251,251,2.3,2025-10-09 19:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,19.166666666666668,26.0,20,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 15:00:00+00:00,8.9,49,955.8,1.45,3.45,3.61,207,237,237,2.1,2025-10-09 20:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,20.166666666666668,27.0,21,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 16:00:00+00:00,8.4,51,955.6,1.1,2.68,2.81,185,233,233,2.0,2025-10-09 21:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,21.166666666666668,28.0,22,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 17:00:00+00:00,8.1,54,955.5,0.4,1.86,1.94,187,256,256,1.5,2025-10-09 22:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,22.166666666666668,29.0,23,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 18:00:00+00:00,7.9,55,955.4,0.15,1.58,1.66,180,304,304,0.6,2025-10-09 23:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,23.166666666666668,30.0,24,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 19:00:00+00:00,7.5,55,955.3,0.11,1.59,1.66,153,315,315,0.4,2025-10-10 00:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,24.166666666666668,31.0,25,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 20:00:00+00:00,6.8,58,955.0,0.1,1.22,1.28,180,299,299,0.3,2025-10-10 01:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,25.166666666666668,32.0,26,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 21:00:00+00:00,6.5,59,954.7,0.1,1.41,1.48,180,314,314,0.3,2025-10-10 02:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,26.166666666666668,33.0,27,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 22:00:00+00:00,5.8,61,954.5,0.16,1.55,1.63,162,319,319,0.4,2025-10-10 03:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,27.166666666666668,34.0,28,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-09 23:00:00+00:00,5.2,63,954.5,0.16,1.5,1.57,198,306,306,0.4,2025-10-10 04:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,28.166666666666668,35.0,29,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 00:00:00+00:00,4.6,65,954.6,0.21,1.79,1.88,166,313,313,0.5,2025-10-10 05:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,29.166666666666668,36.0,30,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 01:00:00+00:00,4.1,67,954.7,0.21,1.9,1.99,166,314,314,0.4,2025-10-10 06:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,30.166666666666668,37.0,31,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 02:00:00+00:00,5.2,64,955.4,0.51,2.44,2.56,241,299,299,0.6,2025-10-10 07:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,31.166666666666668,38.0,32,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 03:00:00+00:00,7.8,49,956.4,1.95,3.29,3.44,283,282,282,4.2,2025-10-10 08:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,32.166666666666664,39.0,33,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 04:00:00+00:00,9.7,42,956.5,2.19,2.72,2.84,294,291,291,5.5,2025-10-10 09:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,33.166666666666664,40.0,34,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 05:00:00+00:00,11.4,38,956.3,2.07,2.42,2.54,302,300,300,5.7,2025-10-10 10:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,34.166666666666664,41.0,35,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 06:00:00+00:00,13.1,34,955.9,1.94,2.3,2.41,305,302,302,5.8,2025-10-10 11:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,35.166666666666664,42.0,36,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 07:00:00+00:00,14.6,31,955.2,1.91,2.28,2.39,290,286,286,5.8,2025-10-10 12:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,36.166666666666664,43.0,37,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 08:00:00+00:00,15.7,29,954.7,2.66,3.17,3.32,275,272,272,6.5,2025-10-10 13:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,37.166666666666664,44.0,38,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 09:00:00+00:00,15.9,28,954.6,4.02,4.96,5.19,264,263,263,8.3,2025-10-10 14:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,38.166666666666664,45.0,39,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 10:00:00+00:00,15.6,29,954.7,4.5,5.73,6.0,261,261,261,8.7,2025-10-10 15:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,39.166666666666664,46.0,40,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 11:00:00+00:00,14.5,33,954.8,4.84,6.49,6.79,262,263,263,8.8,2025-10-10 16:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,40.166666666666664,47.0,41,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-10-10 12:00:00+00:00,12.6,38,955.1,4.2,7.14,7.48,248,256,256,8.7,2025-10-10 17:00:00+05:00,2025-10-08,2025-10-08T23:50:00+05:00,2025-10-08T18:50:00+00:00,2025-10-08T12:00:00+00:00,2025-10-08T18:10:00+00:00,41.166666666666664,48.0,42,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
