turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-11-08 19:00:00+00:00,2.7,38,958.3,1.02,2.43,2.54,79,80,80,1.4,2025-11-09 00:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-08 20:00:00+00:00,2.6,39,958.2,0.98,2.65,2.77,75,84,84,1.5,2025-11-09 01:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-08 21:00:00+00:00,2.5,34,958.3,0.91,2.39,2.51,84,86,86,1.4,2025-11-09 02:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-08 22:00:00+00:00,2.4,35,958.2,1.06,2.4,2.51,98,95,95,1.5,2025-11-09 03:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-08 23:00:00+00:00,2.3,34,958.2,1.09,2.17,2.27,106,99,99,1.5,2025-11-09 04:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-09 00:00:00+00:00,2.1,35,958.1,1.2,2.16,2.27,107,98,98,1.6,2025-11-09 05:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-09 01:00:00+00:00,1.6,33,958.1,1.22,2.24,2.34,109,101,101,1.7,2025-11-09 06:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-09 02:00:00+00:00,1.7,38,958.3,1.62,2.89,3.02,99,85,85,2.2,2025-11-09 07:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-09 03:00:00+00:00,3.1,43,959.1,2.6,4.33,4.54,93,73,73,4.1,2025-11-09 08:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-09 04:00:00+00:00,4.9,47,959.7,3.28,5.33,5.58,78,67,67,5.7,2025-11-09 09:00:00+05:00,2025-11-08,2025-11-08T23:50:00+05:00,2025-11-08T18:50:00+00:00,2025-11-08T12:00:00+00:00,2025-11-08T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
