turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2024-12-23 19:00:00+00:00,-6.3,51,962.6,0.67,2.05,2.14,103,78,78,1.3,2024-12-24 00:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-23 20:00:00+00:00,-6.1,49,962.5,0.46,1.64,1.72,103,67,67,1.0,2024-12-24 01:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-23 21:00:00+00:00,-5.9,48,962.7,0.27,1.29,1.36,112,70,70,0.7,2024-12-24 02:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-23 22:00:00+00:00,-6.3,49,962.7,0.14,1.0,1.05,315,51,51,0.5,2024-12-24 03:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-23 23:00:00+00:00,-7.1,53,962.7,0.1,0.72,0.76,270,48,48,0.5,2024-12-24 04:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 00:00:00+00:00,-7.8,57,962.8,0.16,0.33,0.34,252,27,27,0.4,2024-12-24 05:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 01:00:00+00:00,-8.3,59,963.0,0.34,0.28,0.3,243,301,301,0.6,2024-12-24 06:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 02:00:00+00:00,-8.6,59,963.4,0.64,0.99,1.03,225,237,237,1.0,2024-12-24 07:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 03:00:00+00:00,-8.1,56,963.8,0.45,1.17,1.23,243,253,253,1.0,2024-12-24 08:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 04:00:00+00:00,-6.1,49,964.8,0.78,1.4,1.46,255,241,241,2.3,2024-12-24 09:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-12-24 05:00:00+00:00,-4.5,48,965.3,0.5,1.11,1.16,270,232,232,2.8,2024-12-24 10:00:00+05:00,2024-12-23,2024-12-23T23:50:00+05:00,2024-12-23T18:50:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
