turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2024-09-04 19:00:00+00:00,17.3,42,945.3,0.89,0.83,0.87,164,135,135,2.4,2024-09-05 00:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-04 20:00:00+00:00,17.3,40,945.1,0.98,0.93,0.98,165,137,137,2.1,2024-09-05 01:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-04 21:00:00+00:00,17.7,37,944.8,1.26,1.42,1.48,173,176,176,2.7,2024-09-05 02:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-04 22:00:00+00:00,17.0,40,945.2,1.83,3.62,3.79,235,265,265,2.9,2024-09-05 03:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-04 23:00:00+00:00,16.0,44,945.1,1.71,3.47,3.63,212,244,244,3.1,2024-09-05 04:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 00:00:00+00:00,16.3,40,945.3,1.25,3.06,3.2,203,248,248,2.8,2024-09-05 05:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 01:00:00+00:00,17.1,38,945.8,0.64,2.29,2.4,231,268,268,1.7,2024-09-05 06:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 02:00:00+00:00,19.2,41,946.3,0.53,1.61,1.69,221,245,245,1.0,2024-09-05 07:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 03:00:00+00:00,21.7,29,946.8,0.64,0.93,0.98,309,264,264,2.8,2024-09-05 08:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 04:00:00+00:00,23.9,25,947.1,0.85,0.94,0.99,310,291,291,3.8,2024-09-05 09:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 05:00:00+00:00,25.9,22,947.1,1.27,1.42,1.48,318,311,311,4.8,2024-09-05 10:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 06:00:00+00:00,27.6,18,946.7,1.85,2.07,2.17,322,313,313,5.8,2024-09-05 11:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 07:00:00+00:00,28.6,15,946.1,2.92,3.34,3.5,322,317,317,7.2,2024-09-05 12:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 08:00:00+00:00,28.5,14,945.8,3.61,4.24,4.44,318,315,315,8.1,2024-09-05 13:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 09:00:00+00:00,29.2,12,945.7,3.83,4.62,4.84,311,308,308,8.5,2024-09-05 14:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-05 10:00:00+00:00,29.0,11,945.2,4.22,5.17,5.41,304,302,302,8.8,2024-09-05 15:00:00+05:00,2024-09-04,2024-09-04T23:50:00+05:00,2024-09-04T18:50:00+00:00,2024-09-04T12:00:00+00:00,2024-09-04T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
