turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2024-09-25 19:00:00+00:00,14.3,69,947.7,3.94,5.88,6.16,188,207,207,6.5,2024-09-26 00:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-25 20:00:00+00:00,14.2,63,947.1,3.36,5.2,5.44,185,203,203,6.4,2024-09-26 01:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-25 21:00:00+00:00,14.1,61,946.7,3.4,5.78,6.05,182,194,194,5.6,2024-09-26 02:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-25 22:00:00+00:00,14.2,64,946.4,1.32,3.31,3.47,209,208,208,5.7,2024-09-26 03:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-25 23:00:00+00:00,13.9,64,946.3,0.88,2.55,2.67,227,241,241,1.7,2024-09-26 04:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 00:00:00+00:00,13.5,64,945.7,1.6,3.36,3.52,212,231,231,2.4,2024-09-26 05:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 01:00:00+00:00,13.0,64,945.7,1.84,4.03,4.22,209,225,225,3.0,2024-09-26 06:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 02:00:00+00:00,15.0,58,946.8,3.54,6.0,6.29,247,262,262,5.1,2024-09-26 07:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 03:00:00+00:00,15.8,58,947.8,6.21,8.69,9.09,259,261,261,10.8,2024-09-26 08:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 04:00:00+00:00,15.7,60,948.3,6.38,8.63,9.04,255,256,256,11.5,2024-09-26 09:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 05:00:00+00:00,16.3,57,948.7,5.63,7.35,7.69,260,261,261,11.6,2024-09-26 10:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 06:00:00+00:00,16.6,56,948.8,5.76,7.51,7.86,268,269,269,10.7,2024-09-26 11:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 07:00:00+00:00,17.8,49,948.9,6.65,8.58,8.98,270,271,271,12.6,2024-09-26 12:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 08:00:00+00:00,17.5,47,948.4,6.25,8.28,8.68,268,270,270,12.6,2024-09-26 13:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2024-09-26 09:00:00+00:00,18.5,42,948.5,6.7,8.77,9.19,270,270,270,12.5,2024-09-26 14:00:00+05:00,2024-09-25,2024-09-25T23:50:00+05:00,2024-09-25T18:50:00+00:00,2024-09-25T12:00:00+00:00,2024-09-25T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
