turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m,time_local,forecast_date,decision_time_local,decision_time_utc,run_initialization_utc,estimated_run_available_at_utc,lead_from_decision_hours,lead_from_run_hours,forecast_horizon_hour,weather_model,source,grid_latitude,grid_longitude,grid_elevation
WT_1,43.645139,78.535611,2025-11-28 19:00:00+00:00,2.5,58,959.3,0.96,3.24,3.39,242,252,252,1.7,2025-11-29 00:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,0.16666666666666666,7.0,1,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-28 20:00:00+00:00,2.1,59,959.3,0.82,3.06,3.21,256,261,261,1.4,2025-11-29 01:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,1.1666666666666667,8.0,2,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-28 21:00:00+00:00,1.8,60,959.6,0.71,2.83,2.97,262,266,266,1.3,2025-11-29 02:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,2.1666666666666665,9.0,3,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-28 22:00:00+00:00,1.6,60,959.7,0.47,2.33,2.44,252,259,259,1.1,2025-11-29 03:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,3.1666666666666665,10.0,4,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-28 23:00:00+00:00,1.0,64,959.7,0.27,1.5,1.57,338,283,283,0.8,2025-11-29 04:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,4.166666666666667,11.0,5,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 00:00:00+00:00,0.0,71,960.1,0.18,0.77,0.81,34,305,305,0.6,2025-11-29 05:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,5.166666666666667,12.0,6,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 01:00:00+00:00,-0.5,73,960.2,0.16,0.54,0.56,72,5,5,0.4,2025-11-29 06:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,6.166666666666667,13.0,7,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 02:00:00+00:00,-1.0,73,960.6,0.36,1.45,1.51,74,57,57,0.6,2025-11-29 07:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,7.166666666666667,14.0,8,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 03:00:00+00:00,0.2,67,961.2,0.99,2.86,3.0,60,67,67,1.5,2025-11-29 08:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,8.166666666666666,15.0,9,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 04:00:00+00:00,1.6,64,961.7,2.03,4.36,4.57,52,65,65,4.1,2025-11-29 09:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,9.166666666666666,16.0,10,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 05:00:00+00:00,2.8,63,961.8,2.48,3.43,3.6,50,55,55,5.5,2025-11-29 10:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,10.166666666666666,17.0,11,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 06:00:00+00:00,3.9,59,961.4,2.66,3.45,3.61,41,47,47,6.0,2025-11-29 11:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,11.166666666666666,18.0,12,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 07:00:00+00:00,5.1,55,960.6,2.98,3.83,4.01,41,47,47,6.6,2025-11-29 12:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,12.166666666666666,19.0,13,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 08:00:00+00:00,6.0,53,960.1,3.11,4.04,4.23,42,47,47,6.7,2025-11-29 13:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,13.166666666666666,20.0,14,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 09:00:00+00:00,6.2,52,959.8,3.04,3.93,4.12,42,48,48,6.6,2025-11-29 14:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,14.166666666666666,21.0,15,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 10:00:00+00:00,5.3,57,959.4,2.66,4.39,4.59,40,53,53,6.1,2025-11-29 15:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,15.166666666666666,22.0,16,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 11:00:00+00:00,2.8,67,958.8,2.11,5.34,5.59,59,63,63,4.5,2025-11-29 16:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,16.166666666666668,23.0,17,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 12:00:00+00:00,1.6,72,958.5,2.15,5.58,5.84,72,64,64,3.5,2025-11-29 17:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,17.166666666666668,24.0,18,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 13:00:00+00:00,1.5,70,958.4,2.23,5.76,6.03,74,62,62,3.5,2025-11-29 18:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,18.166666666666668,25.0,19,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 14:00:00+00:00,1.3,69,958.3,2.17,5.41,5.66,82,64,64,3.5,2025-11-29 19:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,19.166666666666668,26.0,20,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 15:00:00+00:00,0.9,66,957.9,1.96,4.97,5.2,94,64,64,3.2,2025-11-29 20:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,20.166666666666668,27.0,21,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 16:00:00+00:00,0.3,63,957.6,1.7,4.62,4.84,104,64,64,2.9,2025-11-29 21:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,21.166666666666668,28.0,22,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 17:00:00+00:00,-0.2,63,957.3,1.63,4.56,4.77,108,63,63,2.7,2025-11-29 22:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,22.166666666666668,29.0,23,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 18:00:00+00:00,-0.4,62,957.1,1.66,4.6,4.82,106,63,63,2.8,2025-11-29 23:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,23.166666666666668,30.0,24,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 19:00:00+00:00,-0.4,61,956.9,1.58,4.4,4.61,108,65,65,2.7,2025-11-30 00:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,24.166666666666668,31.0,25,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 20:00:00+00:00,-0.4,59,956.8,1.44,4.0,4.19,110,68,68,2.6,2025-11-30 01:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,25.166666666666668,32.0,26,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 21:00:00+00:00,0.0,56,956.7,1.25,3.62,3.79,106,70,70,2.2,2025-11-30 02:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,26.166666666666668,33.0,27,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 22:00:00+00:00,0.4,53,956.7,1.08,3.41,3.57,103,73,73,1.7,2025-11-30 03:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,27.166666666666668,34.0,28,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-29 23:00:00+00:00,0.6,51,956.7,0.87,3.04,3.18,103,78,78,1.5,2025-11-30 04:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,28.166666666666668,35.0,29,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-30 00:00:00+00:00,0.8,50,957.0,0.71,2.61,2.74,98,81,81,1.3,2025-11-30 05:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,29.166666666666668,36.0,30,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-30 01:00:00+00:00,0.9,49,957.4,0.41,1.81,1.89,104,87,87,1.0,2025-11-30 06:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,30.166666666666668,37.0,31,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-30 02:00:00+00:00,0.7,50,957.7,0.22,1.03,1.08,117,85,85,0.7,2025-11-30 07:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,31.166666666666668,38.0,32,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
WT_1,43.645139,78.535611,2025-11-30 03:00:00+00:00,1.6,52,958.3,0.16,0.76,0.8,342,63,63,0.4,2025-11-30 08:00:00+05:00,2025-11-28,2025-11-28T23:50:00+05:00,2025-11-28T18:50:00+00:00,2025-11-28T12:00:00+00:00,2025-11-28T18:10:00+00:00,32.166666666666664,39.0,33,ecmwf_ifs,open-meteo/single-runs,43.620384,78.47891,555.0
